#unweighted unifrac significance test
sample 1	sample 2	p value	p value (Bonferroni corrected)
515rcbc10	515rcbc11	0.0	<=1.0e-02
515rcbc10	515rcbc12	0.0	<=1.0e-02
515rcbc10	515rcbc13	0.0	<=1.0e-02
515rcbc10	515rcbc14	0.0	<=1.0e-02
515rcbc10	515rcbc15	0.0	<=1.0e-02
515rcbc10	515rcbc16	0.0	<=1.0e-02
515rcbc10	515rcbc17	0.0	<=1.0e-02
515rcbc10	515rcbc18	0.0	<=1.0e-02
515rcbc10	515rcbc19	0.0	<=1.0e-02
515rcbc10	515rcbc20	1.0	1.0
515rcbc10	515rcbc21	0.0	<=1.0e-02
515rcbc10	515rcbc22	0.0	<=1.0e-02
515rcbc10	515rcbc23	0.0	<=1.0e-02
515rcbc10	515rcbc24	0.0	<=1.0e-02
515rcbc10	515rcbc25	0.0	<=1.0e-02
515rcbc10	515rcbc26	0.0	<=1.0e-02
515rcbc10	515rcbc27	0.0	<=1.0e-02
515rcbc10	515rcbc28	0.0	<=1.0e-02
515rcbc10	515rcbc29	0.0	<=1.0e-02
515rcbc10	515rcbc30	0.0	<=1.0e-02
515rcbc10	515rcbc31	0.0	<=1.0e-02
515rcbc10	515rcbc32	0.0	<=1.0e-02
515rcbc10	515rcbc33	0.0	<=1.0e-02
515rcbc10	515rcbc34	0.0	<=1.0e-02
515rcbc10	515rcbc35	0.0	<=1.0e-02
515rcbc10	515rcbc36	0.0	<=1.0e-02
515rcbc10	515rcbc37	0.0	<=1.0e-02
515rcbc10	515rcbc8	0.0	<=1.0e-02
515rcbc10	515rcbc9	0.0	<=1.0e-02
515rcbc11	515rcbc12	0.0	<=1.0e-02
515rcbc11	515rcbc13	0.0	<=1.0e-02
515rcbc11	515rcbc14	0.0	<=1.0e-02
515rcbc11	515rcbc15	0.0	<=1.0e-02
515rcbc11	515rcbc16	0.0	<=1.0e-02
515rcbc11	515rcbc17	0.0	<=1.0e-02
515rcbc11	515rcbc18	0.0	<=1.0e-02
515rcbc11	515rcbc19	0.0	<=1.0e-02
515rcbc11	515rcbc20	0.99	1.0
515rcbc11	515rcbc21	0.0	<=1.0e-02
515rcbc11	515rcbc22	0.0	<=1.0e-02
515rcbc11	515rcbc23	0.0	<=1.0e-02
515rcbc11	515rcbc24	0.0	<=1.0e-02
515rcbc11	515rcbc25	0.0	<=1.0e-02
515rcbc11	515rcbc26	0.0	<=1.0e-02
515rcbc11	515rcbc27	0.0	<=1.0e-02
515rcbc11	515rcbc28	0.0	<=1.0e-02
515rcbc11	515rcbc29	0.0	<=1.0e-02
515rcbc11	515rcbc30	0.0	<=1.0e-02
515rcbc11	515rcbc31	0.0	<=1.0e-02
515rcbc11	515rcbc32	0.0	<=1.0e-02
515rcbc11	515rcbc33	0.0	<=1.0e-02
515rcbc11	515rcbc34	0.0	<=1.0e-02
515rcbc11	515rcbc35	0.0	<=1.0e-02
515rcbc11	515rcbc36	0.18	1.0
515rcbc11	515rcbc37	0.0	<=1.0e-02
515rcbc11	515rcbc8	0.03	1.0
